Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.poison-dart,Druid,0,0,ability,Poison Dart,1,,,Shape a thorn into a venomous dart and send it into the enemy.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.regrowth,Druid,0,1,ability,Regrowth,1,5,pathfinder.ability.poison-dart,Conjure leaves from the tree of life that heal the user over time.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.ray-of-moonlight,Druid,0,2,ability,Ray of Moonlight,1,10,pathfinder.ability.regrowth,Deal Nature damage and suppress an enemy's shapeshifting for this combat.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.nullify-poison,Druid,0,3,ability,Nullify Poison,1,15,pathfinder.ability.ray-of-moonlight,Cure the target's poison effect.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.thorny-vine,Druid,0,4,ability,Thorny Vine,1,20,pathfinder.ability.nullify-poison,Call forth a vine that deals Nature damage when escape attempts fail.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.poison-strike,Druid,0,5,ability,Poison Strike,1,25,pathfinder.ability.thorny-vine,"Partially transform, biting the target for physical and poison damage."
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.promotion.druid,Druid,0.5,7,promotion,Promote: Druid,2,30,pathfinder.ability.poison-strike; pathfinder.ability.creature-comforts,
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.naturalattunement,Naturalism,1,0,ability,Natural Attunement,1,,,"Attune to nature, increasing Defense and Magic Defense."
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.razor-talons,Naturalism,1,1,ability,Razor Talons,1,5,pathfinder.ability.naturalattunement,Passive: Increase melee damage and Bleed damage caused by melee attacks.
Pathfinder,Base,,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire.",pathfinder.ability.call-animal,Naturalism,1,2,ability,Call Animal,1,10,pathfinder.ability.razor-talons,Call a local animal companion to aid in combat for a time.
