Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.fireball,Advanced Spells,0,0,ability,Fireball,1,70,,A giant ball of fire that consumes the enemy.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.icicle,Advanced Spells,0,1,ability,Icicle,1,70,,Frozen shards rain from the sky.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.lightning,Advanced Spells,0,2,ability,Lightning,1,70,,Throws a bolt of lightning at the enemy.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.hurricane,Advanced Spells,0,3,ability,Hurricane,1,70,,"A violent storm berates your foes, causing great wind damage."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.aqualung,Advanced Spells,0,4,ability,Aqualung,1,70,,"Giant water bubbles surround the enemy and burst, causing great water damage."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.mudslide,Advanced Spells,0,5,ability,Mudslide,1,70,,"A torrent of mud and earth sweep over the enemy, causing earth damage."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.magic-missile-2,Advanced Spells,0,6,ability,Magic Missile II,1,70,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.double-strike,Assault Release,1,0,ability,Double Strike,1,,,Strike the enemy twice in rapid succession.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.cleaving-edge,Assault Release,1,1,ability,Cleaving Edge,1,65,knight-enchanter.ability.double-strike,Offensive Weave Releases also affect enemies adjacent to the primary target.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.re-debuff,Assault Release,1,2,ability,Re-debuff,1,70,knight-enchanter.ability.cleaving-edge,Offensive Weave Releases refresh active negative status effects on affected enemies to at least three turns.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.resonant-strike,Assault Release,1,3,ability,Resonant Strike,1,75,knight-enchanter.ability.re-debuff,"After releasing a Weave, preserve one spent blade charge. The Foundation's matching type is preserved when possible."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.mana-slice-2,Assault Release,1,5,ability,Mana Slice II,1,85,knight-enchanter.ability.resonant-strike,An improved mana-infused strike that drains more of the target's mana.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.quick-recharge,Assault Release,1,6,ability,Quick Recharge,2,90,knight-enchanter.ability.mana-slice-2,"When releasing a Weave with a multi-hit attack, apply its effects to each successful hit in that attack."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.enhance-armor,Aegis Release,2,0,ability,Enhance Armor,1,,,"Your armor adapts to your dwindling arcane reserves, fortifying itself as your mana depletes. The less mana you have, the greater your ' defense rating becomes. This protective enchantment ensures you can endure even when your magic is nearly exhausted."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.defensive-release,Aegis Release,2,1,ability,Defensive Release,1,65,knight-enchanter.ability.enhance-armor,"Replaces Defend. Each use increases the next Weave Release by 25%, stacking up to three times; releasing consumes all stacks."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.third-eye,Aegis Release,2,2,ability,Third Eye,2,70,knight-enchanter.ability.defensive-release,Passive: Add Intelligence to critical-hit and dodge chance calculations.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.aegis-weave,Aegis Release,2,3,ability,Aegis Weave,1,75,knight-enchanter.ability.third-eye,Consume all Blade Charges and the current pattern to create a temporary ward shaped by its Foundation and Accent.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.weave-reservoir,Aegis Release,2,4,ability,Weave Reservoir,1,80,knight-enchanter.ability.aegis-weave,"At the start of your turn, full Arcane and Elemental charge pools restore 3% of maximum HP and MP."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.arcane-riposte,Aegis Release,2,5,ability,Arcane Riposte,1,85,knight-enchanter.ability.weave-reservoir,Parry immediately releases a prepared Weave through its counterattack.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.mana-tap,Spellbind Release,3,0,ability,Mana Tap,1,,,Convert a portion of your mana into health.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.dispel-slash,Spellbind Release,3,1,ability,Dispel Slash,1,65,knight-enchanter.ability.mana-tap,A strike that dispels all magical effects on the target.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.storage-capacity-2,Spellbind Release,3,3,ability,Storage Capacity II,2,75,knight-enchanter.ability.dispel-slash,Increase the number of Arcane and Elemental Blade Charges that can be held by 2. This stacks with Storage Capacity.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.spellbind,Spellbind Release,3,4,ability,Spellbind,1,80,knight-enchanter.ability.storage-capacity-2,Consume all Blade Charges and the current pattern to empower the next damaging spell hit within three turns.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.echoing-blade,Spellbind Release,3,5,ability,Echoing Blade,1,85,knight-enchanter.ability.spellbind,Weave Releases have a 25% chance to repeat their effect at the start of your next turn.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.parry,Universal / Extra Abilities,4,0,ability,Parry,1,,,Passive: Chance to deflect some or all damage from an incoming melee attack. Cannot Parry while wielding a shield.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.riposte,Universal / Extra Abilities,4,1,ability,Riposte,1,65,knight-enchanter.ability.parry,Passive: Chance to make an automatic main-hand counterattack after a successful Parry.
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.true-piercing-strike,Universal / Extra Abilities,4,3,ability,True Piercing Strike,1,75,,"Attack that is guaranteed to hit and that pierces the enemy's defenses, ignoring armor and defenses but reduces weapon damage."
Knight Enchanter,Second Promotion,Spellblade,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases.",knight-enchanter.ability.triple-strike,Universal / Extra Abilities,4,5,ability,Triple Strike,1,85,,Strike the enemy three times in quick succession.
