Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.jump-mod.defend,Guard Mods,0,1,talent,Defend,1,35,lancer.ability.jump,Unlock the Defend Jump modification.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.jump-mod.acrobat,Guard Mods,0,2,talent,Acrobat,1,40,lancer.jump-mod.defend,Unlock the Acrobat Jump modification.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.talent.grounded-landing,Guard Mods,0,3,talent,Grounded Landing,1,45,lancer.jump-mod.acrobat,Increase Defense by 20% and reduce final incoming damage by 10% while Jump is charging.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",dragoon.jump-mod.retribution,Guard Mods,0,6,talent,Retribution,1,65,lancer.talent.grounded-landing,Unlock the Retribution Jump modification.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",dragoon.jump-mod.unstoppable,Guard Mods,0,7,talent,Unstoppable,1,70,dragoon.jump-mod.retribution,Unlock the Unstoppable Jump modification.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.ability.jump,Jump Core,1,0,ability,Jump,1,,,"Leap into the air and bring down your weapon onto the enemy, delivering increased damage."
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.rating.attack-1,Assault Mods,1,1,rating,+20 Attack,1,,lancer.ability.jump,Permanently increase Attack by 20.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.rating.defense-1,Guard Mods,1,2,rating,+20 Defense,1,,lancer.ability.jump,Permanently increase Defense by 20.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.ability.vigilant-landing,Guard Mods,1,3,ability,Vigilant Landing,2,,lancer.rating.defense-1,Landing from Jump has a Dexterity-based chance to enter a defensive stance.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",dragoon.talent.dragons-ascent,Assault Mods,1,5,talent,Dragon's Ascent,1,,lancer.rating.attack-1,Increase Attack by 30%. A clean Soaring Strike landing grants 2 Aerial Tempo.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",dragoon.rating.defense-1,Guard Mods,1,6,rating,+30 Defense,1,,dragoon.talent.dragons-ascent,Permanently increase Defense by 30.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",dragoon.ability.dragon-dive,Guard Mods,1,7,ability,Dragon Dive,2,80,dragoon.talent.dragons-ascent; dragoon.jump-mod.soaring-strike; dragoon.jump-mod.unstoppable,Consume all Aerial Tempo in a decisive aerial strike. Each stack increases weapon damage and accuracy.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.talent.aerial-footwork,Assault Mods,2,1,talent,Aerial Footwork,1,35,lancer.ability.jump,Increase Attack by 20% and Aerial Tempo capacity by 1.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.jump-mod.quick-dive,Assault Mods,2,2,talent,Quick Dive,1,40,lancer.talent.aerial-footwork,Unlock the Quick Dive Jump modification.
Dragoon,Second Promotion,Lancer,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above.",lancer.jump-mod.thrust,Assault Mods,2,3,talent,Thrust,1,45,lancer.jump-mod.quick-dive,Unlock the Thrust Jump modification.
