Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.firestorm,Master Elemental Spells,0,0,ability,Firestorm,1,,,"Fire rains from the sky, incinerating the enemy."
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.blizzard,Master Elemental Spells,0,1,ability,Blizzard,1,,,"The enemy is encased in a blistering cold, penetrating into its bones."
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.electrocution,Master Elemental Spells,0,2,ability,Electrocution,1,,,A million volts of electricity passes through the enemy.
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.tornado,Master Elemental Spells,0,3,ability,Tornado,1,,,You bring down a cyclone that pelts the enemy with debris and causes massive wind damage.
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.tsunami,Master Elemental Spells,0,4,ability,Tsunami,1,,,A massive tidal wave cascades over your foes.
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.earthquake,Master Elemental Spells,0,5,ability,Earthquake,1,,,"The cave wall and ceiling are brought down by a massive seismic event, dealing devastating earth damage."
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.prismatic-cataclysm,Master Modifiers,0.5,6,ability,Unknown,1,,,Unleash all six elemental schools across every enemy.
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.elemental-convergence,Master Modifiers,0.5,7,ability,Elemental Convergence,1,,wizard.ability.prismatic-cataclysm,Each successive elemental strike in Prismatic Cataclysm deals 10% more damage.
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.inferno,Master Modifiers,1,0,ability,Inferno,1,65,wizard.ability.firestorm,"Flames feed more flames, allowing burns to spread through the battlefield and among enemies."
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.subzero,Master Modifiers,1,1,ability,Subzero,1,65,wizard.ability.blizzard,"Ice spells gain a chance to freeze an enemy, preventing it from acting for two turns."
Wizard,Second Promotion,Sorcerer,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared.",wizard.ability.electrical-burns,Master Modifiers,1,2,ability,Electrical Burns,1,65,wizard.ability.electrocution,Critical Electric spells can set their target on fire.
