Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.packstrike,Pack Tactics,0,0,ability,Pack Strike,1,,,Order the tamed companion to pack strike.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.heavy-hunter,Pack Tactics,0,1,talent,Heavy Hunter,1,65,beast-master.ability.packstrike,Deal 15% more damage to your quarry with a two-handed main-hand weapon.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.coordinated-assault,Pack Tactics,0,2,talent,Coordinated Assault,1,70,beast-master.talent.heavy-hunter,Deal 10% more weapon damage to your quarry while your companion is fighting.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.alpha-instinct,Pack Tactics,0,3,talent,Alpha Instinct,1,75,beast-master.talent.coordinated-assault,"Increase the damage, protection, and pressure of companion species traits by 25%."
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.unleash-instinct,Pack Tactics,0,4,ability,Unleash Instinct,1,80,beast-master.talent.alpha-instinct,Order the tamed companion to unleash instinct.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.apex-pack,Pack Tactics,0,5,talent,Apex Pack,1,85,beast-master.ability.unleash-instinct,Increase automatic companion action chance by 10 percentage points and its damage by 10%.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.zephyrstrike,Pack Tactics,1,0,ability,Zephyrstrike,1,,,You strike with the timing of a sudden gale.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.harryprey,Pack Tactics,1,1,ability,Harry Prey,1,65,beast-master.ability.zephyrstrike,Order the tamed companion to harry prey.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.trail-guard,Pack Tactics,1,2,talent,Trail Guard,1,70,beast-master.ability.harryprey,Take 10% less damage from your favored enemy type.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.crippling-harrier,Pack Tactics,1,3,talent,Crippling Harrier,1,75,beast-master.talent.trail-guard,Harry Prey also reduces the target's Attack.
