Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.unarmed-proficiency,Ki Assault,0,0,ability,Unarmed Proficiency,1,,,Passive: Gain 10% accuracy and weapon damage while unarmed or using a fist weapon.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.flowing-palm,Ki Assault,0,1,ability,Flowing Palm,1,35,monk.ability.unarmed-proficiency,Strike for 115% weapon damage and gain 5 accuracy points per stored Ki.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.talent.rhythmic-breathing,Ki Assault,0,2,talent,Rhythmic Breathing,1,40,monk.ability.flowing-palm,A qualifying martial hit at zero Ki gains two Ki instead of one.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.rating.disciplined-attack,Ki Assault,0,3,rating,+20 Attack,1,45,monk.talent.rhythmic-breathing,Permanently increase Attack by 20.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.headbutt,Ki Assault,0,4,ability,Headbutt,1,50,monk.rating.disciplined-attack,A close strike that can stun.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.uppercut,Ki Assault,0,5,ability,Uppercut,1,55,monk.ability.headbutt,A rising martial strike that deals increased damage.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.chi-heal,Ki Discipline,1,0,ability,Chi Heal,1,,,Channel your chi energy to heal wounds and cleanse all negative status effects.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.health.disciplined-vitality,Ki Discipline,1,1,health,+50 HP,1,35,monk.ability.chi-heal,Permanently increase maximum HP by 50.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.ability.mirror-breath,Ki Discipline,1,2,ability,Mirror Breath,1,40,monk.health.disciplined-vitality,Brief reflection and counter-ward support.
Monk,First Promotion,Healer,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage.",monk.talent.deep-restoration,Ki Discipline,1,3,talent,Deep Restoration,1,45,monk.ability.mirror-breath,Focused Chi Heal restores 30% additional healing instead of 20%.
