Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.stumble-upon,Thief,0,0,ability,Stumble Upon,1,,,"Attack the target and follow with a trip attempt. On a complete miss, pass a DEX check or fall prone."
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.steal,Thief,0,1,ability,Steal,1,5,footpad.ability.stumble-upon,Relieve the enemy of their items or gold.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.lockpick,Thief,0,2,ability,Lockpick,1,10,footpad.ability.steal,Unlock a locked chest while carrying a Lockpick Kit. The kit may lose durability or break.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.avoid-traps,Thief,0,3,ability,Avoid Traps,1,15,footpad.ability.lockpick,Passive: Gain an increased chance to avoid a triggered trap's negative effect; halve it otherwise.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.do-over,Thief,0,4,ability,Do-over,1,20,footpad.ability.avoid-traps,Passive: A missed attack has a chance to be rerolled once per battle.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.serendipity,Thief,0,5,ability,Serendipity,1,25,footpad.ability.do-over,Passive: Increase the chance of enemies dropping items.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.promotion.thief,Thief,0.5,7,promotion,Promote: Thief,2,30,footpad.ability.serendipity; footpad.ability.sleepingpowder,
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.disarm,Control,1,0,ability,Disarm,1,,,"Surprise the enemy by attacking their weapon, knocking it out of their grasp. Disarmed characters have lower chance to hit and can't use certain abilities."
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.pocketsand,Control,1,1,ability,Pocket Sand,1,5,footpad.ability.disarm,Throw sand in the target's eyes to blind them.
Footpad,Base,,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger.",footpad.ability.smokescreen,Control,1,2,ability,Smoke Screen,1,10,footpad.ability.pocketsand,"Create a cloud of smoke, enabling escape. Requires a Smoke Bomb to use."
