Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.sleep,Shadow Control,0,1,ability,Sleep,1,,,A magical tune lulls the target to sleep.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.dispel,Shadow Control,0,2,ability,Dispel,1,35,warlock.ability.sleep,"Cast an anti-magic spell on your foe, removing any positive status effects."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.terrify,Shadow Control,0,4,ability,Terrify,1,45,warlock.ability.dispel,"Get in the mind of the enemy, terrifying them into inaction and doing damage in the process."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.doom,Shadow Control,0,5,ability,Doom,1,50,warlock.ability.terrify,"Places a timer on the enemy's life, ending it when the timer expires."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.promotion.shadowcaster,Umbral Offense,0.5,7,promotion,Promote: Shadowcaster,3,60,warlock.ability.doom; warlock.ability.mana-drain; warlock.ability.shadow-bolt-2,
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.health-drain,Draining,1,1,ability,Health Drain,1,,,"Drain the enemy, absorbing their health."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.rating.magic-defense,Draining,1,2,rating,+20 Magic Defense,1,,warlock.ability.health-drain,Permanently increase Magic Defense by 20.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.resist-holy,Draining,1,3,ability,Resist Holy,1,40,warlock.rating.magic-defense,Increase Holy resistance outside battle for 100 steps of game time.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.vim-and-rigor,Draining,1,4,ability,Vim and Rigor,1,45,warlock.ability.resist-holy,Health drains are more potent when the target is at full health.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.mana-drain,Draining,1,6,ability,Mana Drain,1,55,warlock.ability.vim-and-rigor,"Drain the enemy, absorbing their mana."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.shadow-bolt,Umbral Offense,2,1,ability,Shadow Bolt,1,,,"Launch a bolt of magic infused with dark energy, damaging the enemy."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.rating.magic,Umbral Offense,2,2,rating,+20 Magic,1,,warlock.ability.shadow-bolt,Permanently increase Magic by 20.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.impending-demise,Umbral Offense,2,4,ability,Impending Demise,1,45,warlock.rating.magic,Shadow Bolt damage is increased by 50% divided by the turns left on Doom.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.eclipse,Umbral Offense,2,5,ability,Eclipse,1,50,warlock.ability.impending-demise,Enter a short shadow form.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.shadow-bolt-2,Umbral Offense,2,6,ability,Shadow Bolt II,1,55,warlock.ability.eclipse,"Launch a bolt of magic infused with dark energy, damaging the enemy."
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.curse-umbra,Curses,3,1,ability,Curse of Umbra,1,,,Persistently lowers the target's Shadow resistance.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.curse-frailty,Curses,3,2,ability,Curse of Frailty,1,35,warlock.ability.curse-umbra,Persistently weakens every Strength-based action and check.
Warlock,First Promotion,Mage,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them.",warlock.ability.hemorrhaging-curse,Curses,3,3,ability,Hemorrhaging Curse,1,40,warlock.ability.curse-frailty,"Curse the enemy with open wounds that bleed, dealing periodic damage."
