Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.double-strike,Berserker,0,0,ability,Double Strike,1,,,Strike the enemy twice in rapid succession.
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.rating.attack-1,Berserker,0,1,rating,+20 Attack,1,,weapon-master.ability.double-strike,Permanently increase Attack by 20.
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.two-handed-weapon-proficiency,Berserker,0,2,ability,Two-Handed Weapon Proficiency,1,35,weapon-master.rating.attack-1,Passive: Increase accuracy and damage while wielding a two-handed weapon.
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.mortal-strike,Berserker,0,4,ability,Mortal Strike,1,45,weapon-master.ability.two-handed-weapon-proficiency,"Assault the enemy, striking them with a critical hit and placing a bleed effect that deals damage. Requires a 2-handed weapon."
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.devastating-throw,Berserker,0,5,ability,Devastating Throw,1,50,weapon-master.ability.mortal-strike,"Throw your main-hand weapon at the enemy for massive damage, disarming yourself afterward."
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.brutish-strength,Berserker,0,6,ability,Brutish Strength,1,55,weapon-master.ability.devastating-throw,Passive: Increase critical damage based on the equipped weapon's discipline rank.
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.promotion.berserker,Berserker,0,7,promotion,Promote: Berserker,3,60,weapon-master.ability.brutish-strength,
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.dual-wield,Dual Wield,1,2,ability,Dual Wield,1,35,weapon-master.rating.defense-1,"Passive: Equip a one-handed weapon in the off hand, with an accuracy penalty to attacks made by either hand."
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.honed-attack,Dual Wield,1,3,ability,Honed Attack,1,40,weapon-master.ability.dual-wield,Passive: Increase the damage bonus from critical hits by 25%.
Weapon Master,First Promotion,Warrior,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields.",weapon-master.ability.momentum,Dual Wield,1,4,ability,Momentum,1,45,weapon-master.ability.honed-attack,"Attack with both weapons. If both connect, finish with a two-handed strike using their combined strength."
