Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.ability.transform3,Frenzy,0,0,ability,Transform,1,,,Enter the persistent Werewolf form. Moon stress can force this form and lock dismissal with Frenzy.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.blood-scent,Frenzy,0,1,talent,Blood Scent,1,65,lycan.ability.transform3,Increase Attack by 10% while hunting in Werewolf form.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.ability.charge,Frenzy,0,2,ability,Charge,1,70,lycan.talent.blood-scent,"Charge the enemy, building momentum before stunning them and delivering a devastating weapon strike."
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.frenzied-force,Frenzy,0,3,talent,Frenzied Force,1,75,lycan.ability.charge,Increase Attack by 10% and deepen Frenzy's offensive payoff.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.ability.battlecry,Frenzy,0,4,ability,Battle Cry,1,80,lycan.talent.frenzied-force,"Let out a battle cry, boosting your attack."
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.red-tooth,Frenzy,0,5,talent,Red Tooth,1,85,lycan.ability.battlecry,Increase Attack by 10% during transformed pressure.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.moon-ravager,Frenzy,0,6,talent,Moon Ravager,2,90,lycan.talent.red-tooth,Increase Attack by 10% after completing the Frenzy discipline.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.ability.mortalstrike2,Moon Hunt,1,0,ability,Mortal Strike,1,,,Devastating critical strike plus bleed; duration and damage determined by the player's strength. Requires a 2-handed weapon.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.ability.lunar-rend,Moon Hunt,1,1,ability,Lunar Rend,1,65,lycan.ability.mortalstrike2,Werewolf only: strike for 140% weapon damage and inflict Bleed.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.lunar-pursuit,Moon Hunt,1,2,talent,Lunar Pursuit,1,70,lycan.ability.lunar-rend,Increase Defense by 10% while pursuing marked prey.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.full-moon-fury,Moon Hunt,1,3,talent,Full Moon Fury,1,75,lycan.talent.lunar-pursuit,Increase Attack by 10% at the most dangerous lunar peak.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.waning-guard,Moon Hunt,1,4,talent,Waning Guard,1,80,lycan.talent.full-moon-fury,Increase Defense by 10% while the moon recedes.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.relentless-hunt,Moon Hunt,1,5,talent,Relentless Hunt,1,85,lycan.talent.waning-guard,Increase Attack by 10% for sustained transformed combat.
Lycan,Second Promotion,Druid,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.,lycan.talent.lunar-apex,Moon Hunt,1,6,talent,Lunar Apex,2,90,lycan.talent.relentless-hunt,Increase Attack by 10% after completing the Moon Hunt discipline.
