Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.ability.scavengers-eye,Fortune,0,0,ability,Scavenger's Eye,1,,,Modestly improves ordinary loot odds and rarity without creating restricted drops.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.talent.read-the-room,Fortune,0,1,talent,Read the Room,1,35,thief.ability.scavengers-eye,Successful meaningful luck outcomes grant an extra Fortune 25% of the time.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.ability.gold-toss,Fortune,0,2,ability,Gold Toss,1,40,thief.talent.read-the-room,"Toss a handful of gold at the enemy, dealing damage equal to the amount of gold thrown."
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.health.fortune-vitality,Fortune,0,3,health,+50 HP,1,45,thief.ability.gold-toss,Permanently increase maximum HP by 50.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.talent.gilt-edge,Fortune,0,4,talent,Gilt Edge,1,50,thief.health.fortune-vitality,Fortune spent on a risky action grants 2.5 additional accuracy points per stack.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.talent.fortune-favors-bold,Fortune,0,5,talent,Fortune Favors the Bold,1,55,thief.talent.gilt-edge,A clean Fortune payoff preserves one spent stack once per action.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.ability.mug,Misfortune,1,0,ability,Mug,1,,,Attack the enemy with a chance to steal their items.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.talent.hard-lessons,Misfortune,1,1,talent,Hard Lessons,1,35,thief.ability.mug,Misfortune damage and severity scaling increases from 8% to 10% per stack.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.rating.spiteful-attack,Misfortune,1,2,rating,+20 Attack,1,40,thief.talent.hard-lessons,Permanently increase Attack by 20.
Thief,First Promotion,Footpad,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced.",thief.ability.turn-the-tables,Misfortune,1,3,ability,Turn the Tables,1,45,thief.rating.spiteful-attack,Spend all Misfortune to raise Attack and Defense for three turns.
