Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.imbue-weapon,Bard,0,0,ability,Imbue Weapon,1,,,Channel magical energy into your weapon to enhance its damage.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.goad,Bard,0,1,ability,Goad,1,5,healer.ability.imbue-weapon,Provoke the target into a berserking rage.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.lullaby,Bard,0,2,ability,Lullaby,1,10,healer.ability.goad,Serenade a target with a chance to put it to sleep.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.beginners-luck,Bard,0,3,ability,Beginner's Luck,1,15,healer.ability.lullaby,Increase the Charisma bonus on luck rolls for the rest of combat.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.mental-shard,Bard,0,4,ability,Mental Shard,1,20,healer.ability.beginners-luck,Drive psychic spines into a target and lower its Intelligence.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.cacophany,Bard,0,5,ability,Cacophany,1,25,healer.ability.mental-shard,Perform an unpredictable Charisma-driven vocal warm-up.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.promotion.bard,Bard,0.5,7,promotion,Promote: Bard,2,30,healer.ability.cacophany; healer.ability.tutelary,
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.bless,Support,1,0,ability,Bless,1,,,"A prayer is spoken, bestowing a mighty blessing upon the caster's weapon, increasing melee damage."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.tranquility,Support,1,1,ability,Tranquility,1,5,healer.ability.bless,Apply Peaceful and grant immunity to Berserk.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.courage,Support,1,2,ability,Courage,1,10,healer.ability.tranquility,Become immune to Fear and gain 15% maximum health temporarily.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.vision,Support,1,3,ability,Vision,1,15,healer.ability.courage,"Grant sight to the target for a time, including outside combat."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.rating.magic-defense.1,Support,1,4,rating,+10 Magic Defense,1,,healer.ability.vision,Permanently increase Magic Defense by 10.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.tutelary,Support,1,5,ability,Tutelary,1,25,healer.rating.magic-defense.1,Call a spirit that sometimes reduces incoming damage.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.smite,Cleric,2,0,ability,Smite,1,,,"The power of light rebukes the enemy, adding bonus holy damage to a successful attack roll."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.rating.defense.1,Cleric,2,1,rating,+10 Defense,1,,healer.ability.smite,Permanently increase Defense by 10.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.turnundead,Cleric,2,2,ability,Turn Undead,1,10,healer.rating.defense.1,A holy chant is recited with a chance to banish any nearby undead from existence.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.detect-undead,Cleric,2,3,ability,Detect Undead,1,15,healer.ability.turnundead,"Cast outside combat. For 50 steps, encounters with Undead enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.divine-protection,Cleric,2,4,ability,Divine Protection,1,20,healer.ability.detect-undead,"A shimmering aura envelops the user, shielding them with the celestial power of the Divine. While active, Divine Protection fortifies defenses, significantly reducing incoming physical damage."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.shield-slam,Cleric,2,5,ability,Shield Slam,1,25,healer.ability.divine-protection,"Slam the enemy with your shield, damaging with a chance to stun for several turns."
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.promotion.cleric,Cleric,2.5,7,promotion,Promote: Cleric,2,30,healer.ability.shield-slam; healer.ability.heal2,
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.heal,Healing,3,0,ability,Heal,1,,,A glowing light envelopes your body and heals you for a percentage of the target's health.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.health.25,Healing,3,1,health,+25 HP,1,,healer.ability.heal,Permanently increase maximum HP by 25.
Healer,Base,,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!",healer.ability.regen,Healing,3,2,ability,Regen,1,10,healer.health.25,"Cooling waters stimulate your natural healing ability, regenerating health over time."
