Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.repercussion,Assault,0,1,ability,Repercussion,1,,,Release a powerful blast wave against every enemy.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.focused-assault,Assault,0,2,ability,Focused Assault,1,,stalwart-defender.ability.repercussion,Improve hit chance and critical strike damage for three turns.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.talent.punishing-guard,Assault,0,3,talent,Punishing Guard,2,70,stalwart-defender.ability.focused-assault,Increase Attack by 30%. Repercussion deals 25% more damage and can knock enemies prone.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.crushing-vengeance,Assault,0,4,ability,Crushing Vengeance,1,75,stalwart-defender.talent.punishing-guard,Increase every Ironwall Revenge strike and make each debilitate its target.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.double-payback,Assault,0,5,ability,Double Payback,2,80,stalwart-defender.ability.crushing-vengeance,Ironwall Revenge makes one additional attack.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.hold-the-line,Bulwark,1,1,ability,Hold the Line,1,,,Enter a shield stance that improves block and mitigation.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.brace-wall,Bulwark,1,2,ability,Brace Wall,1,,stalwart-defender.ability.hold-the-line,Spend Resolve to raise Defense; also refreshes Hold the Line.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.last-stand,Bulwark,1,3,ability,Last Stand,1,70,stalwart-defender.ability.brace-wall,Increase defense and block strength at the expense of attack power.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.talent.unbroken-wall,Bulwark,1,5,talent,Unbroken Wall,2,80,stalwart-defender.ability.last-stand,Increase Defense by 30%. Last Stand gains 10 percentage points of block chance and 50% more Resolve gain.
Stalwart Defender,Second Promotion,Sentinel,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude.",stalwart-defender.ability.iron-maiden,Bulwark,1,6,ability,Iron Maiden,2,85,stalwart-defender.talent.unbroken-wall,Attackers take damage while Stronghold is active.
