Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.cartography,Wayfinding,0,0,ability,Cartography,1,,,"Seekers are masters at map making and gain the ability to see all of the dungeon, regardless of whether an area has been visited."
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.talent.early-bearings,Wayfinding,0,1,talent,Early Bearings,1,65,seeker.ability.cartography,Mapped-floor Wayfinding discounts begin at 35% exploration instead of 50%.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.wayfinding,Wayfinding,0,2,ability,Wayfinding,1,70,seeker.talent.early-bearings,Studied routes and cases smooth Seeker movement magic.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.surveyors-step,Wayfinding,0,3,ability,Surveyor's Step,1,75,seeker.ability.wayfinding,Gain Speed for three turns based on how much of the current floor is mapped.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.teleport,Wayfinding,0,4,ability,Teleport,1,80,seeker.ability.surveyors-step,Teleport the user to a previously set location on the same level.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.talent.efficient-passage,Wayfinding,0,5,talent,Efficient Passage,1,85,seeker.ability.teleport,Increase every earned Wayfinding MP discount by five percentage points.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.enter-wall,Wayfinding,0,6,ability,Enter Wall,1,90,seeker.talent.efficient-passage,Pass through ordinary walls for a few steps.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.volitation,Safe Passage,1,0,ability,Volitation,1,,,Float above hazardous ground for a short time.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.talent.light-footed,Safe Passage,1,1,talent,Light Footed,1,65,seeker.ability.volitation,Surveyor's Step grants five additional Speed.
Seeker,Second Promotion,Inquisitor,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths.",seeker.ability.safe-passage,Safe Passage,1,2,ability,Safe Passage,1,70,seeker.talent.light-footed,Raise Defense and Magic Defense for three turns; mapped floors strengthen the ward.
