Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.staff-conduit,Consecrated Conduit,0,0,ability,Staff Conduit,1,,,You can wield a two-handed staff with a shield and focus Devotion through staff strikes.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.conduit-strike,Consecrated Conduit,0,1,ability,Conduit Strike,1,65,hierophant.ability.staff-conduit,Strike for 120% staff damage and conduct prepared sacred power.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.consecrated-conduit,Consecrated Conduit,0,2,ability,Consecrated Conduit,1,70,hierophant.ability.conduit-strike,Spend Hierophant Devotion to empower the next staff or holy attack.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.talent.deep-conduit,Consecrated Conduit,0,3,talent,Deep Conduit,2,75,hierophant.ability.consecrated-conduit,Consecrated Conduit adds a further 8% Holy damage.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.holy-2,Consecrated Conduit,0,4,ability,Holy II,1,80,hierophant.talent.deep-conduit,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.talent.staff-ward,Consecrated Conduit,0,5,talent,Staff Ward,1,85,hierophant.ability.holy-2,Consecrated Conduit's ward gains 50% more strength.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.talent.radiant-return,Consecrated Conduit,0,6,talent,Radiant Return,1,90,hierophant.talent.staff-ward,Consecrated Conduit restores one MP per spent Devotion.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.regen-2,Devotional Grace,1,0,ability,Regen II,1,,,"Cooling waters stimulate your natural healing ability, regenerating health over time."
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.talent.gentle-grace,Devotional Grace,1,1,talent,Gentle Grace,2,65,hierophant.ability.regen-2,Meaningful healing grants one additional Devotion once per action.
Hierophant,Second Promotion,Cleric,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft.",hierophant.ability.graceful-intercession,Devotional Grace,1,2,ability,Graceful Intercession,1,70,hierophant.talent.gentle-grace,Spend one Devotion to restore health and raise a two-turn ward.
