Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.reveal,Case Journal,0,0,ability,Reveal,1,,,"An Inquisitor is a champion of truth, exposing secrets and gaining protection from shadow."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.inspect,Case Journal,0,1,ability,Inspect,1,35,inquisitor.ability.reveal,"Your attention to detail allows you to inspect aspects of the enemy, possibly revealing a tender spot."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.take-notes,Case Journal,0,2,ability,Take Notes,2,40,inquisitor.ability.inspect,"Outside combat, review the rank of every enemy type recorded in your Notebook."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.exploit-weakness,Case Journal,0,3,ability,Exploit Weakness,1,45,inquisitor.ability.take-notes,Inspect and identify the enemy's greatest weakness and exploit it.
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.talent.analytical-precision,Case Journal,0,4,talent,Analytical Precision,1,50,inquisitor.ability.exploit-weakness,Increase Attack by 10% after learning to exploit recorded weaknesses.
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.keen-eye,Case Journal,0,5,ability,Keen Eye,1,55,inquisitor.talent.analytical-precision,"As an Inquisitor, you can gain insights into your surroundings."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.piercing-strike,Judgment,1,0,ability,Piercing Strike,1,,,"Pierces the enemy's defenses, ignoring armor and defenses."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.shield-block,Judgment,1,1,ability,Shield Block,1,35,inquisitor.ability.piercing-strike,"You are much more proficient with a shield than most, increasing the amount of damage blocked."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.dispel,Judgment,1,2,ability,Dispel,1,40,inquisitor.ability.shield-block,"Cast an anti-magic spell on your foe, removing any positive status effects."
Inquisitor,First Promotion,Footpad,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils.",inquisitor.ability.silence,Judgment,1,3,ability,Silence,1,45,inquisitor.ability.dispel,"Tongue-tie the enemy's brain, making spell casting impossible."
