Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.retaliate,Assault,0,0,ability,Retaliate,1,,,Your skill with a shield makes quick responses your forte.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.swing-and-bash,Assault,0,1,ability,Swing & Bash,1,35,sentinel.ability.retaliate,Follow a weapon attack with a shield attack.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.rating.attack-1,Assault,0,2,rating,+20 Attack,1,40,sentinel.ability.swing-and-bash,Permanently increase Attack by 20.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.focused-assault,Assault,0,3,ability,Focused Assault,1,45,sentinel.rating.attack-1,Improve hit chance and critical strike damage for three turns.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.repercussion,Assault,0,4,ability,Repercussion,1,50,sentinel.ability.focused-assault,Release a powerful blast wave against every enemy.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.talent.watchful-reprisal,Assault,0,5,talent,Watchful Reprisal,1,55,sentinel.ability.repercussion,Increase Attack by 20% and Retaliate chance by 10 percentage points.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.hold-the-line,Wall,1,0,ability,Hold the Line,1,,,Enter a shield stance that improves block and mitigation.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.shield-riposte,Wall,1,1,ability,Shield Riposte,1,35,sentinel.ability.hold-the-line,Fully blocking a weapon attack immediately attempts to knock the attacker prone.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.rating.defense-1,Wall,1,2,rating,+20 Defense,1,40,sentinel.ability.shield-riposte,Permanently increase Defense by 20.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.ability.brace-wall,Wall,1,3,ability,Brace Wall,1,45,sentinel.rating.defense-1,Spend Resolve to raise Defense; also refreshes Hold the Line.
Sentinel,First Promotion,Warrior,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes.",sentinel.talent.resolute-guard,Wall,1,5,talent,Resolute Guard,1,55,sentinel.ability.brace-wall,Increase Defense by 20% and improve Hold the Line's block and mitigation by 5 percentage points.
