Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.fireball,Elemental Spells,0,0,ability,Fireball,1,,,A giant ball of fire that consumes the enemy.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.icicle,Elemental Spells,0,1,ability,Icicle,1,,,Frozen shards rain from the sky.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.lightning,Elemental Spells,0,2,ability,Lightning,1,,,Throws a bolt of lightning at the enemy.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.hurricane,Elemental Spells,0,3,ability,Hurricane,1,,,"A violent storm berates your foes, causing great wind damage."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.aqualung,Elemental Spells,0,4,ability,Aqualung,1,,,"Giant water bubbles surround the enemy and burst, causing great water damage."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.mudslide,Elemental Spells,0,5,ability,Mudslide,1,,,"A torrent of mud and earth sweep over the enemy, causing earth damage."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.classical-enrichment,Elemental Spells,0.5,6,ability,Classical Enrichment,1,55,sorcerer.ability.combustion; sorcerer.ability.snowpiercer; sorcerer.ability.paralyzer; sorcerer.ability.ejection-gale; sorcerer.ability.aspirate; sorcerer.ability.unsteady-ground,"Further specialize in elemental magic, lowering Arcane spell potency by an additional 25%."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.combustion,Spell Modifiers,1,0,ability,Combustion,1,35,sorcerer.ability.fireball,Fire spells also burn their targets.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.snowpiercer,Spell Modifiers,1,1,ability,Snowpiercer,1,35,sorcerer.ability.icicle,Ice spells also deal additional cold damage.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.paralyzer,Spell Modifiers,1,2,ability,Paralyzer,1,35,sorcerer.ability.lightning,Electric spells gain a chance to stun their targets.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.ejection-gale,Spell Modifiers,1,3,ability,Ejection Gale,1,35,sorcerer.ability.hurricane,Wind spells can eject their targets from combat.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.aspirate,Spell Modifiers,1,4,ability,Aspirate,1,35,sorcerer.ability.aqualung,"Water spells can drown their targets, dealing damage over time and preventing them from acting."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.unsteady-ground,Spell Modifiers,1,5,ability,Unsteady Ground,1,35,sorcerer.ability.mudslide,Earth spells also knock their targets prone.
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.promotion.wizard,Elemental Spells,1,7,promotion,Promote: Wizard,3,60,sorcerer.ability.classical-enrichment; sorcerer.ability.arcane-ritual,
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.arcane-ritual,Arcana,1.5,6,ability,Arcane Ritual,1,55,sorcerer.ability.arcane-empowerment,"Further specialize in Arcane magic, lowering elemental spell potency by an additional 25%."
Sorcerer,First Promotion,Mage,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path.",sorcerer.ability.magic-missile-2,Arcana,2,0,ability,Magic Missile II,1,,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
