Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Base,Warrior
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Base,Footpad
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Base,Healer
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Base,Pathfinder
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",First,Weapon Master
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",First,Sentinel
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",First,Inquisitor
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",First,Monk
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",First,Ranger
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Second,Berserker
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Second,Stalwart Defender
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Second,Seeker
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Second,Monk
Half Giant,15,7,8,14,6,8,4,2,1,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.4,0.2,0.15,Perseverance,Your charge cannot be broken by pain alone; only incapacitation can interrupt it.,Sloth,"You advance slowly, gaining reduced experience from combat.","We do not speculate on how they are made but we do know the union between humans and giants does occur. These half giants dwarf most men but are seen as runts amongst their giant brethren. Their brutish nature make the excellent Warriors and not much else. Half giants have mild resistances to poisons and physical damage but poor agility and sharp weaknesses against most other magics, especially holy spells.",Second,Beast Master
