Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.ability.grand-finale,Finale,0,0,ability,Grand Finale,1,,,End the active combat song immediately and spend its Crescendo on the coda.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.masterful-finale,Finale,0,1,talent,Masterful Finale,1,65,troubadour.ability.grand-finale,Every combat coda resolves as though one additional Crescendo were spent.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.decisive-ending,Finale,0,2,talent,Decisive Ending,1,70,troubadour.talent.masterful-finale,Reduce Grand Finale's MP cost from 8 to 6.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.crescendo-reserve,Finale,0,3,talent,Crescendo Reserve,1,75,troubadour.talent.decisive-ending,Increase maximum Crescendo by two.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.rolling-crescendo,Finale,0,4,talent,Rolling Crescendo,1,80,troubadour.talent.crescendo-reserve,Each maintained song turn gains one additional Crescendo.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.commanding-stage,Finale,0,5,talent,Commanding Stage,1,85,troubadour.talent.rolling-crescendo,Increase the strength of every active song by 10%.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.ability.syncopated-strike,Finale,0,6,ability,Syncopated Strike,1,85,troubadour.talent.commanding-stage,"Strike for 135% weapon damage; on hit, extend the active song by one turn."
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.heroic-finale,Finale,1,0,talent,Heroic Finale,1,,,Valor codas resolve as though one additional Crescendo were spent.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.guardian-finale,Finale,1,1,talent,Guardian Finale,1,65,troubadour.talent.heroic-finale,Shelter codas resolve as though one additional Crescendo were spent.
Troubadour,Second Promotion,Bard,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance.",troubadour.talent.reviving-finale,Finale,1,2,talent,Reviving Finale,1,70,troubadour.talent.guardian-finale,Renewal codas gain one effective Crescendo and cleanse poison at two spent.
