Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.hyakuretsukyaku,Perfected Flurry,0,0,ability,Hyakuretsukyaku,1,,,A rushing flurry of kicks.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.hundredfold-precision,Perfected Flurry,0,1,talent,Hundredfold Precision,1,65,master-monk.ability.hyakuretsukyaku,A Ki-empowered Hyakuretsukyaku gains 15 accuracy points per hit instead of 10.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.triple-strike,Perfected Flurry,0,2,ability,Triple Strike,1,70,master-monk.talent.hundredfold-precision,Strike the enemy three times in quick succession.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.perfect-control,Perfected Flurry,0,3,talent,Perfect Control,1,75,master-monk.ability.triple-strike,Ki control riders gain 25 percentage points of reliability instead of 15.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.spinning-back-elbow,Perfected Flurry,0,4,ability,Spinning Back Elbow,1,80,master-monk.talent.perfect-control,A turning blow that can blind.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.perfected-restoration,Perfected Flurry,0,5,talent,Perfected Restoration,1,85,master-monk.ability.spinning-back-elbow,Focused Chi Heal restores a further 15% additional healing.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.purity-without-end,Perfected Flurry,0,6,talent,Purity Without End,1,90,master-monk.talent.perfected-restoration,Focused Chi Heal extends hostile-status immunity by one turn.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.hadouken,Final Art,1,0,ability,Hadouken,1,,,A focused chi strike delivered at range.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.suplex,Final Art,1,1,ability,Suplex,1,70,master-monk.ability.hadouken,A crushing throw that can knock the target prone.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.evasion,Diamond Body,2,0,ability,Evasion,1,,,"You have become highly attuned at your surroundings, anticipating other's actions and increasing your chance to dodge attacks."
