Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Base,Warrior
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Base,Mage
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Base,Footpad
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Base,Healer
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Base,Pathfinder
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Weapon Master
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Paladin
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Lancer
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Sentinel
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Sorcerer
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Warlock
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Spellblade
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Conjurer
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Thief
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Inquisitor
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Assassin
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Spell Stealer
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Cleric
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Priest
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Monk
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Bard
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Druid
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Diviner
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Shaman
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",First,Ranger
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Grandmaster of Arms
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Berserker
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Crusader
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Dragoon
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Stalwart Defender
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Wizard
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Knight Enchanter
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Thaumaturgist
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Rogue
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Seeker
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Ninja
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Arcane Trickster
Human,10,10,10,10,10,10,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diligence,"You learn quickly from battle, gaining increased experience.",Lust,"Temptation dulls your caution, reducing your resistance to debilitating effects.","Humans are something you can relate to. They are the most versatile of all races, making a viable option for all classes. While they have no magical resistances, they also have no weaknesses.",Second,Templar
