Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.ability.songvalor,Performance,0,0,ability,Song of Valor,1,,,Perform a 3-turn song that raises weapon and magic damage.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.sustained-performance,Performance,0,1,talent,Sustained Performance,1,35,bard.ability.songvalor,Combat songs last one additional turn.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.driving-rhythm,Performance,0,2,talent,Driving Rhythm,1,40,bard.talent.sustained-performance,Song of Valor grants a further 5% weapon and magic damage.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.rising-cadence,Performance,0,3,talent,Rising Cadence,1,45,bard.talent.driving-rhythm,The first maintained turn of a song gains one additional Crescendo.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.coda-craft,Performance,0,4,talent,Coda Craft,1,50,bard.talent.rising-cadence,Combat codas resolve as though one additional Crescendo were spent.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.resonant-hall,Performance,0,5,talent,Resonant Hall,1,55,bard.talent.coda-craft,Increase the strength of every active song by 10%.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.ability.songshelter,Performance,1,0,ability,Song of Shelter,1,,,Perform a 3-turn song that reduces incoming damage.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.sheltering-refrain,Performance,1,1,talent,Sheltering Refrain,1,35,bard.ability.songshelter,Song of Shelter reduces incoming damage by a further 5%.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.ability.songrenewal,Performance,1,2,ability,Song of Renewal,1,40,bard.talent.sheltering-refrain,Perform a 3-turn song that restores HP and MP each turn.
Bard,First Promotion,Healer,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting.",bard.talent.restorative-harmony,Performance,1,3,talent,Restorative Harmony,1,45,bard.ability.songrenewal,Song of Renewal restores an additional 2% maximum HP and MP per pulse.
