Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.double-strike,Zeal,0,1,ability,Double Strike,1,,paladin.ability.oath-judgment,Strike the enemy twice in rapid succession.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.rating.attack-1,Zeal,0,2,rating,+20 Attack,1,,paladin.ability.double-strike,Permanently increase Attack by 20.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.talent.tempered-conviction,Zeal,0,4,talent,Tempered Conviction,1,45,paladin.rating.attack-1,Increase Defense by 20% and Oath Conviction capacity by 1.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.true-strike,Zeal,0,5,ability,True Strike,1,,paladin.talent.tempered-conviction,Attack that is guaranteed to hit at the cost of damage.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.oath-judgment,Zeal,1,0,ability,Oath's Judgment,1,,,Spend all Oath Conviction on a weapon technique shaped by the sworn vow.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.smite,Zeal,2,1,ability,Smite,1,,paladin.ability.oath-judgment,"The power of light rebukes the enemy, adding bonus holy damage to a successful attack roll."
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.detect-undead,Zeal,2,2,ability,Detect Undead,1,35,paladin.ability.smite,"Cast outside combat. For 50 steps, encounters with Undead enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.repel-the-wicked,Zeal,2,3,ability,Repel the Wicked,1,40,paladin.ability.detect-undead,Attempt to drive a fiend or undead foe from combat. A foe marked by Condemnation is disintegrated on a successful cast.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.rating.magic-1,Zeal,2,4,rating,+20 Magic,1,,paladin.ability.repel-the-wicked,Permanently increase Magic by 20.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.detect-fiend,Zeal,2,5,ability,Detect Fiend,1,50,paladin.rating.magic-1,"Cast outside combat. For 50 steps, encounters with Fiend enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.hallowed-ground,Zeal,2,6,ability,Hallowed Ground,1,55,paladin.ability.detect-fiend,"The ground around you glows with sacred light, damaging nearby enemies and healing you for 3 turns."
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.promotion.crusader,Zeal,2.5,7,promotion,Promote: Crusader,3,60,paladin.ability.oath-judgment; paladin.ability.oath-shelter,
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.heal,Grace,3,1,ability,Heal,1,,paladin.ability.oath-shelter,A glowing light envelopes your body and heals you for a percentage of the target's health.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.mana.mana-1,Grace,3,2,mana,+50 MP,1,,paladin.ability.heal,Permanently increase maximum MP by 50.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.resist-shadow,Sanctity,3,4,ability,Resist Shadow,1,45,paladin.mana.mana-1,Increase Shadow resistance outside battle for 100 steps of game time.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.talent.sworn-purpose,Grace,3,5,talent,Sworn Purpose,1,50,paladin.ability.resist-shadow,Increase Magic and Magic Defense by 20%.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.blessed-light,Grace,3,6,ability,Blessed Light,1,55,paladin.talent.sworn-purpose,Passive: Successfully casting a healing spell in combat grants +10 Attack for three turns.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.oath-shelter,Grace,4,0,ability,Oath's Shelter,1,,,Spend all Oath Conviction on protection shaped by the sworn vow.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.bless,Sanctity,5,1,ability,Bless,1,,paladin.ability.oath-shelter,"A prayer is spoken, bestowing a mighty blessing upon the caster's weapon, increasing melee damage."
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.rating.magic-defense-1,Sanctity,5,2,rating,+20 Magic Defense,1,,paladin.ability.bless,Permanently increase Magic Defense by 20.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.parry,Sanctity,5,3,ability,Parry,1,,paladin.rating.magic-defense-1,Passive: Chance to deflect some or all damage from an incoming melee attack. Cannot Parry while wielding a shield.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.rating.defense-1,Sanctity,5,4,rating,+20 Defense,1,,paladin.ability.parry,Permanently increase Defense by 20.
Paladin,First Promotion,Warrior,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions.",paladin.ability.divine-protection,Sanctity,5,5,ability,Divine Protection,1,50,paladin.rating.defense-1,"A shimmering aura envelops the user, shielding them with the celestial power of the Divine. While active, Divine Protection fortifies defenses, significantly reducing incoming physical damage."
