Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",Base,Warrior
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",Base,Mage
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",Base,Footpad
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",Base,Healer
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",Base,Pathfinder
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",First,Weapon Master
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",First,Paladin
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",First,Lancer
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",First,Sorcerer
Half Elf,9,11,10,9,10,11,2,1,2,3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,Gratitude,"You recover steadily, increasing healing received.",Envy,"Envy undermines resolve, slightly reducing your critical damage spikes.","Half elves are the result of the interbreeding between humans and elves. They are almost as versatile as humans and possess an improved magical prowess, as well as mild elemental resistance. Like their elf cousins, they do have a slight susceptibility to physical damage.",First,Warlock
