Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.ability.favored-enemy,Hunt,0,0,ability,Favored Enemy,1,,,Mark the current enemy type as your quarry. Keeping the same mark builds tracking mastery; changing quarry carries over only some practice.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.ability.wild-sense,Hunt,0,1,ability,Wild Sense,1,35,ranger.ability.favored-enemy,Inspect a favored enemy. Higher Tracking Mastery reveals more combat details.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.talent.relentless-tracker,Hunt,0,2,talent,Relentless Tracker,1,40,ranger.ability.wild-sense,Retain half your Tracking Mastery instead of one third when changing quarry.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.talent.quarrys-bane,Hunt,0,3,talent,Quarry's Bane,1,45,ranger.talent.relentless-tracker,Deal 10% more weapon and crossbow damage to your favored enemy type.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.ability.aggressive-pursuit,Hunt,0,4,ability,Aggressive Pursuit,1,50,ranger.talent.quarrys-bane,Passive: Make an advantaged main-hand attack when an enemy attempts to flee; a survivor escapes.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.talent.apex-hunter,Hunt,0,5,talent,Apex Hunter,1,55,ranger.ability.aggressive-pursuit,"At Mastered Trail, deal a further 10% weapon and crossbow damage to your quarry."
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.ability.detect-animal,Companion Bond,1,0,ability,Detect Animal,1,,,"Cast outside combat. For 50 steps, encounters with Animal enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.ability.creature-comforts,Companion Bond,1,1,ability,Creature Comforts,1,35,ranger.ability.detect-animal,"Pacify nearby animals, reducing encounters or urging them from combat."
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.talent.kindred-instinct,Companion Bond,1,2,talent,Kindred Instinct,1,40,ranger.ability.creature-comforts,Your tamed companion can use its species trait at 15 bond instead of 25.
Ranger,First Promotion,Pathfinder,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast.",ranger.talent.pack-tactics,Companion Bond,1,4,talent,Pack Tactics,1,50,ranger.talent.kindred-instinct; ranger.talent.quarrys-bane,Your tamed companion deals 20% more damage to your favored enemy type.
