Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.monkey-grip,Heavy Weapons,0,1,ability,Monkey Grip,1,,,"Your two-handed dual wielding becomes steadier, reducing its accuracy and damage penalties."
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.momentum,Heavy Weapons,0,2,ability,Momentum,1,65,berserker.ability.monkey-grip,"Attack with both weapons. If both connect, finish with a two-handed strike using their combined strength."
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.tectonic-rift,Heavy Weapons,0,4,ability,Tectonic Rift,1,75,berserker.ability.momentum,"Slam both two-handed weapons into the ground, dealing massive Earth damage to all enemies and knocking grounded enemies prone. Flying enemies take partial damage from debris."
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.monkey-grip-2,Heavy Weapons,0,5,ability,Monkey Grip 2,2,80,berserker.ability.tectonic-rift,"Your two-handed dual wielding is fully stabilized, removing its accuracy and damage penalties."
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.mortal-strike-2,Two-Weapon Assault,1,1,ability,Mortal Strike 2,1,,,Devastating critical strike plus bleed; duration and damage determined by the player's strength. Requires a 2-handed weapon.
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.boomerang-toss,Two-Weapon Assault,1,2,ability,Boomerang Toss,1,65,berserker.ability.mortal-strike-2,Passive: Devastating Throw hits three times and returns the main-hand weapon instead of disarming you.
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.rating.attack-1,Two-Weapon Assault,1,3,rating,+30 Attack,1,,berserker.ability.boomerang-toss,Permanently increase Attack by 30.
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.thunderous-vault,Two-Weapon Assault,1,4,ability,Thunderous Vault,1,75,berserker.rating.attack-1,"Leap at an enemy and strike with both weapons in midair, releasing an expanding electrical field on landing that may stun enemies."
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.triple-strike,Two-Weapon Assault,1,5,ability,Triple Strike,2,80,berserker.ability.thunderous-vault,Strike the enemy three times in quick succession.
Berserker,Second Promotion,Weapon Master,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor.",berserker.ability.frenzy,Fury,2,1,ability,Frenzy,1,,,"Enter a controlled Berserk state for three turns. You can only attack, but gain increased weapon damage and critical chance."
