Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.weaponfocus,Arms,0,2,ability,Weapon Focus,1,10,warrior.ability.charge,Focused weapon practice increases weapon hit chance.
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.rating.attack.1,Arms,0,3,rating,+10 Attack,1,,warrior.ability.weaponfocus,Permanently increase Attack by 10.
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.cripple,Arms,0,4,ability,Cripple,1,20,warrior.rating.attack.1,"Launch a less accurate attack against the target's main hand. On hit, reduce its melee damage based on damage dealt."
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.truestrike,Arms,0,5,ability,True Strike,1,25,warrior.ability.cripple,Attack that is guaranteed to hit at the cost of damage.
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.promotion.weapon-master,Arms,0,7,promotion,Promote: Weapon Master,2,30,warrior.ability.truestrike,
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.piercingstrike,Arms,0.5,0,ability,Piercing Strike,1,,,"Pierces the enemy's defenses, ignoring armor and defenses."
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.charge,Arms,0.5,1,ability,Charge,1,5,warrior.ability.piercingstrike,"Charge the enemy, building momentum before stunning them and dealing weapon damage."
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.honedattack,Vanguard,1,2,ability,Honed Attack,1,10,warrior.ability.charge,Passive: Increase the damage bonus from critical hits by 25%.
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.ability.drivingthrust,Vanguard,1,3,ability,Driving Thrust,1,15,warrior.ability.honedattack,"Drive your weapon into the enemy, dealing greatly increased damage while the target is stunned."
Warrior,Base,,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game.",warrior.rating.defense.1,Vanguard,1,4,rating,+10 Defense,1,,warrior.ability.drivingthrust,Permanently increase Defense by 10.
