Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.foretell,Foresight Threads,0,0,ability,Foretell,1,,,Read the enemy's next likely action.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.thread-spinner,Foresight Threads,0,1,talent,Thread Spinner,1,65,astromancer.ability.foretell,Increase Magic by 10% while generating Foresight Threads.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.twistfate,Foresight Threads,0,2,ability,Twist Fate,1,70,astromancer.talent.thread-spinner,Guarantee the success of your next action.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.threadedcast,Foresight Threads,0,3,ability,Threaded Cast,1,75,astromancer.ability.twistfate,Spend all Threads on the next validated spell or Runic Boost: each grants +5 accuracy/reliability points and +6% output.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.woven-certainty,Foresight Threads,0,4,talent,Woven Certainty,1,80,astromancer.ability.threadedcast,Increase Magic by 10% for Threaded Cast output.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.rewind,Foresight Threads,0,5,ability,Rewind,1,85,astromancer.talent.woven-certainty,Return combat to the previous player choice point.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.fate-loom,Foresight Threads,0,6,talent,Fate Loom,2,90,astromancer.ability.rewind,Increase Magic by 10% without altering Rewind's safety rules.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.vulcanize,Runic Constellations,1,0,ability,Vulcanize,1,,,"Fire can be very destructive but can sometimes harden. The user is engulfed in flames, taking fire damage but increasing armor."
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.stellar-script,Runic Constellations,1,1,talent,Stellar Script,1,65,astromancer.ability.vulcanize,Increase Magic by 10% while aligning natural runes.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.weakenmind,Runic Constellations,1,2,ability,Weaken Mind,1,70,astromancer.talent.stellar-script,"Attack the enemy's mind, diminishing their ability to deal damage and defend against magic."
