Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.vulcanize,Rune Lore,0,0,ability,Vulcanize,1,,,"Fire can be very destructive but can sometimes harden. The user is engulfed in flames, taking fire damage but increasing armor."
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.rating.rune-potency,Rune Lore,0,1,rating,+20 Magic,1,,diviner.ability.vulcanize,Permanently increase Magic by 20.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.enfeeble,Rune Lore,0,2,ability,Enfeeble,1,40,diviner.rating.rune-potency,"Cripple your foe for 4 turns, reducing Attack and Defense by 20%. Hit chance scales with the caster's Intelligence against the target's Constitution."
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.elemental-script,Rune Lore,0,3,talent,Elemental Script,1,45,diviner.ability.enfeeble,Increase Magic by 10% while studying natural-element signs.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.dispel,Rune Lore,0,4,ability,Dispel,1,50,diviner.talent.elemental-script,"Cast an anti-magic spell on your foe, removing any positive status effects."
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.open-sigils,Rune Lore,0,5,talent,Open Sigils,1,55,diviner.ability.dispel,Increase Magic by 10% and improve natural-element rune acquisition.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.haste,Rune Flow,1,0,ability,Haste,1,,,"Bend the pace of battle around yourself, greatly increasing speed."
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.rating.rune-ward,Rune Flow,1,1,rating,+20 Magic Defense,1,,diviner.ability.haste,Permanently increase Magic Defense by 20.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.quick-inscription,Rune Flow,1,2,talent,Quick Inscription,1,40,diviner.rating.rune-ward,Increase Magic Defense by 10% while preparing runic casts.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.runic-focus,Rune Flow,1,3,talent,Runic Focus,1,45,diviner.talent.quick-inscription,Increase Magic by 10% to reinforce Runic Boost output.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.balanced-grid,Rune Flow,1,4,talent,Balanced Grid,1,50,diviner.talent.runic-focus,Increase Magic Defense by 10% after mastering rune flow.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.doublecast,Rune Flow,1,5,ability,Doublecast,1,55,diviner.talent.balanced-grid,Cast multiple spells in a single turn.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.promotion.astromancer,Rune Lore,1.5,7,promotion,Promote: Astromancer,3,60,diviner.talent.open-sigils; diviner.ability.doublecast; diviner.ability.berserk; diviner.ability.temporary-stasis,
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.ability.learnspell,Foresight,2,0,ability,Learn Spell,1,,,Permanently learn an explicitly rank-1 hostile spell after witnessing it resolve successfully.
Diviner,First Promotion,Pathfinder,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects.",diviner.talent.pattern-memory,Foresight,2,2,talent,Pattern Memory,1,40,diviner.ability.learnspell,Increase Magic by 10% while retaining witnessed rank-one patterns.
