Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.sanctuary-ward,Devotion,0,0,ability,Sanctuary Ward,1,,,Spend all Devotion for a two-turn shield; larger spends cleanse and regenerate.
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.talent.held-faith,Devotion,0,1,talent,Held Faith,1,35,cleric.ability.sanctuary-ward,Each held Devotion reduces incoming damage by 4% instead of 3%.
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.bless,Devotion,0,2,ability,Bless,1,40,cleric.talent.held-faith,"A prayer is spoken, bestowing a mighty blessing upon the caster's weapon, increasing melee damage."
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.rating.devotional-attack,Devotion,0,3,rating,+20 Attack,1,45,cleric.ability.bless,Permanently increase Attack by 20.
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.talent.lasting-sanctuary,Devotion,0,4,talent,Lasting Sanctuary,1,50,cleric.rating.devotional-attack,Sanctuary Ward lasts one additional turn.
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.pious-bounty,Devotion,0,5,ability,Pious Bounty,1,55,cleric.talent.lasting-sanctuary,Your devotion draws extra providence from righteous victories.
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.promotion.hierophant,Devotion,0.5,7,promotion,Promote: Hierophant,3,60,cleric.ability.pious-bounty; cleric.talent.overflowing-grace,
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.smite,Sacred Office,1,0,ability,Smite,1,,,"The power of light rebukes the enemy, adding bonus holy damage to a successful attack roll."
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.smite-2,Sacred Office,1,1,ability,Smite II,1,35,cleric.ability.smite,"The power of light rebukes the enemy, adding bonus holy damage to a successful main-hand attack roll and dealing additional damage to Undead."
Cleric,First Promotion,Healer,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not.",cleric.ability.turn-undead-2,Sacred Office,1,2,ability,Turn Undead II,1,40,cleric.ability.smite-2,A holy chant is recited with a chance to banish any nearby undead from existence.
