Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.soul-drain,Soul Dominion,0,0,ability,Soul Drain,1,,,"Drain a fragment of the enemy's soul, dealing a small portion of its current health without killing it."
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.gentle-reaping,Soul Dominion,0,1,talent,Gentle Reaping,1,65,soulcatcher.ability.soul-drain,Soul Drain restores health equal to 25% of its nonlethal damage.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.soul-rend,Soul Dominion,0,2,ability,Soul Rend,1,70,soulcatcher.talent.gentle-reaping,Strike for 125% weapon damage and gain Resonance against a drained foe.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.soul-amplifier,Soul Dominion,0,3,talent,Soul Amplifier,1,75,soulcatcher.ability.soul-rend,Soul Totem pulses gain 10 percentage points of potency.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.desoul,Soul Dominion,0,4,ability,Desoul,1,80,soulcatcher.talent.soul-amplifier,"Removes the soul from the enemy, instantly killing it."
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.death-ward,Soul Dominion,0,5,talent,Death Ward,1,85,soulcatcher.ability.desoul,Gain 15 Magic Defense while the Soul Totem is active.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.soulstorm,Soul Dominion,0,6,ability,Soulstorm,2,90,soulcatcher.talent.death-ward,Spend all Resonance to force a strengthened Soul Totem pulse.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.absorb-essence,Essence,1,0,ability,Absorb Essence,1,,,"When a Soulcatcher kills an enemy, there is a chance that they may absorb part of the enemy's essence. Different monster types improve different stats, allowing the Soulcatcher to grow stronger with each victory."
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.discerning-vessel,Essence,1,1,talent,Discerning Vessel,1,65,soulcatcher.ability.absorb-essence,Increase Absorb Essence's successful harvest chance by 5 percentage points.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.ability.vulcanize,Essence,1,2,ability,Vulcanize,1,70,soulcatcher.talent.discerning-vessel,"Fire can be very destructive but can sometimes harden. The user is engulfed in flames, taking fire damage but increasing armor."
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.varied-harvest,Essence,1,3,talent,Varied Harvest,1,75,soulcatcher.ability.vulcanize,Three distinct harvested essence types grant 10 Magic.
Soulcatcher,Second Promotion,Shaman,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield.",soulcatcher.talent.essence-shell,Essence,1,4,talent,Essence Shell,1,80,soulcatcher.talent.varied-harvest,Five distinct harvested essence types grant 10 Armor.
